25824686	变形金刚5：最后的骑士	4.8	https://movie.douban.com/subject/25824686/
26260853	速度与激情8	7.0	https://movie.douban.com/subject/26260853/
6981146	雪人	5.1	https://movie.douban.com/subject/6981146/
27047871	记忆之夜	7.2	https://movie.douban.com/subject/27047871/
26842503	啊，荒野 前篇	8.1	https://movie.douban.com/subject/26842503/
26759539	十万个冷笑话2	7.4	https://movie.douban.com/subject/26759539/
6873143	一条狗的使命	7.7	https://movie.douban.com/subject/6873143/
26698000	心理罪	5.0	https://movie.douban.com/subject/26698000/
25900945	美女与野兽	7.2	https://movie.douban.com/subject/25900945/
26266085	三个老枪手	7.6	https://movie.douban.com/subject/26266085/
26391916	杀人者的记忆法	7.3	https://movie.douban.com/subject/26391916/
26639958	春娇救志明	7.1	https://movie.douban.com/subject/26639958/
26815162	生存家族	8.1	https://movie.douban.com/subject/26815162/
26884892	大病	7.6	https://movie.douban.com/subject/26884892/
11803087	异形：契约	7.3	https://movie.douban.com/subject/11803087/
26816383	喜欢你	6.9	https://movie.douban.com/subject/26816383/
27605669	权力的游戏：征服与反抗	7.2	https://movie.douban.com/subject/27605669/
26862259	乘风破浪	6.8	https://movie.douban.com/subject/26862259/
25818101	攻壳机动队	6.5	https://movie.douban.com/subject/25818101/
27037539	这就是命	4.5	https://movie.douban.com/subject/27037539/
26935675	肉与灵	7.5	https://movie.douban.com/subject/26935675/
26826398	杀破狼·贪狼	7.2	https://movie.douban.com/subject/26826398/
27094896	方法派	6.7	https://movie.douban.com/subject/27094896/
26785590	无爱可诉	7.3	https://movie.douban.com/subject/26785590/
22263645	猜火车2	8.0	https://movie.douban.com/subject/22263645/
27063335	捍卫者	8.0	https://movie.douban.com/subject/27063335/
26606743	嫌疑人X的献身	6.4	https://movie.douban.com/subject/26606743/
26182910	功夫瑜伽	5.0	https://movie.douban.com/subject/26182910/
26528871	好时光	7.1	https://movie.douban.com/subject/26528871/
26575145	坚强	6.7	https://movie.douban.com/subject/26575145/
26309788	金刚：骷髅岛	6.6	https://movie.douban.com/subject/26309788/
